Frequency,Input,Callsign,Description,System/Category,Tag,Updated
27.25500,,,Park District: Lightning Detection System (Data),Elmhurst,Data,2010:04:29
31.62000,,,Operations,Forest Preserve District of DuPage County,Public Works,2012:04:18
31.78000,,KNED362,Maintenance,Forest Preserve District of DuPage County,Public Works,2012:04:18
31.82000,,KNED362,Maintenance,Forest Preserve District of DuPage County,Public Works,2012:04:18
31.86000,,KNED362,Maintenance (Mobiles),Forest Preserve District of DuPage County,Public Works,2012:04:18
37.94000,,KNIW808,OEM: DuPage County Emergency Radio Network (DCERN) - some encryption,DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
37.96000,,KNGD612,Highway Department - Base,DuPage County,Public Works,2012:04:18
39.98000,,KNGD612,Highway Department - Mobiles,DuPage County,Public Works,2012:04:18
44.76000,,WNPG917,Park District,Bloomingdale,Public Works,2009:03:17
44.96000,,WNPG917,Park District,Bloomingdale,Public Works,2009:03:17
45.36000,,WNQF709,IEMA: Weather Net,DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
45.40000,,KAV739,OEM: DuPage Medical Emergency Radio System (DMERS),DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
45.44000,,WPES847,IEMA: Tac-2,DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
45.56000,,WNQF709,IEMA / LESERN,DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
45.68000,,KCK298,Milton Township,Townships,Public Works,2009:03:17
46.58000,,WPCY401,Public Works,Wood Dale,Public Works,2013:02:01
47.46000,,KUV670,Buses [Ch 1?],Elgin School District U-46 (Bartlett),Schools,2009:03:21
47.66000,,KUV670,Buses [Ch 2?],Elgin School District U-46 (Bartlett),Schools,2009:03:21
52.87000,52.17000,W9DMW,MOOSEFAR (West Chicago),Repeaters & Simplex,Ham,2011:09:22
119.75000,,,Clearance Delivery,Tower/Approach/Departure,Aircraft,2009:09:13
120.90000,,,DuPage Tower,Tower/Approach/Departure,Aircraft,2009:09:13
121.80000,,,DuPage Ground Control,Tower/Approach/Departure,Aircraft,2009:09:13
122.30000,,,Kankakee Flight Service RDO,Tower/Approach/Departure,Aircraft,2009:09:13
122.55000,,,Kankakee Flight Service RDO,Tower/Approach/Departure,Aircraft,2009:09:13
122.95000,,,"UNICOM (""Flight Center"")",Tower/Approach/Departure,Aircraft,2009:09:13
122.95000,,WWA7,DuPage Flight Center,Businesses,Aircraft,2011:09:16
132.07500,,,ATIS/ASOS (was 124.8),Tower/Approach/Departure,Aircraft,2012:03:19
133.50000,,,Approach/Departure (Chicago),Tower/Approach/Departure,Aircraft,2009:09:13
145.15000,144.55000,N9IRG,N9IRG (Glendale Heights),Repeaters & Simplex,Ham,2011:09:22
145.17000,144.57000,WA9WSL,Indian Hill Amateur Radio Club - IHARC (Naperville),Repeaters & Simplex,Ham,2011:09:22
145.19000,144.59000,W9ANL,Argonne Amateur Radio Club (Argonne Labs),Repeaters & Simplex,Ham,2011:09:22
145.31000,144.71000,W9CCU,Wheaton Community Radio Amateurs (Wheaton),Repeaters & Simplex,Ham,2011:09:22
145.39000,144.79000,W9CCU,Wheaton Community Radio Amateurs (Wheaton),Repeaters & Simplex,Ham,2011:09:22
145.43000,144.83000,W9DUP,DuPage ARC (Downers Grove) - Severe Wx Nets,Repeaters & Simplex,Ham,2012:07:04
145.49000,144.89000,WB9UGX,Westmont EMA: Amateur Radio,Public Safety,Ham,2009:03:17
145.71000,,,DuPage Amateur Radio Communications (DARCOM),Public Safety,Ham,2009:03:17
146.50500,,K9WSS,"K9WSS (Westmont) - simplex, IRLP node #4939",Repeaters & Simplex,Ham,2012:07:04
146.97000,146.37000,K9ONA,Six Meter Club of Chicago (Hinsdale),Repeaters & Simplex,Ham,2011:09:22
147.36000,147.96000,W9BZW,W9BZW (Wheaton),Repeaters & Simplex,Ham,2012:07:04
147.42000,,,York Amateur Radio Club 2m Simplex,Repeaters & Simplex,Ham,2011:09:22
147.45000,,,"DuPage OEM: Amateur Radio ""Command and Control""",Public Safety,Ham,2009:03:17
147.51000,,,"Naperville EMA / Severe Weather Spotters, etc.",Public Safety,Ham,2011:09:22
147.54000,,,Wheaton Community Radio Amateurs (Simplex),Repeaters & Simplex,Ham,2011:09:22
151.02500,,KFN647,Winfield Township,Townships,Public Works,2009:03:17
151.02500,,WNZL347,York Township,Townships,Public Works,2009:03:17
151.02500,,WQQF637,Bloomingdale Township Highway Department,Townships,Public Works,2012:09:07
151.02500,,KGK645,Downers Grove Township,Townships,Public Works,2009:03:17
151.02500,,,Lisle Township,Townships,Public Works,2009:03:17
151.02500,,WNUH254,Naperville Township Roads,Townships,Public Works,2009:03:17
151.05500,,WNUH254,Naperville Township Road Maintenance,Townships,Public Works,2009:03:17
151.14500,,WPMP985,Park District (license expired 2003),Lisle,Public Works,2007:11:12
151.17500,,KTH822,Clarendon Blackhawk Mosquito Abatement Dist,Townships,Public Works,2007:11:08
151.22000,,KJP469,Park District: Maintenance,Wheaton,Public Works,2009:03:25
151.22000,,,Park District (also 118.8?),Downers Grove,Public Works,2007:11:08
151.23500,,KNFZ479,Park District,Addison,Public Works,2007:11:08
151.23500,,KJP469,Park District: Community Center / Rice Pool,Wheaton,Public Works,2009:03:25
151.25000,,KNED362,Police: Mobile Extenders - Mobiles-to-Portables,Forest Preserve District of DuPage County,Law Tac,2009:03:17
151.25000,,KNED362,Police: Mobile Extenders - Portables-to-Mobiles,Forest Preserve District of DuPage County,Law Tac,2012:04:18
151.26500,159.34500,WNWR520,Park District / OEM Ops [LESTAC],Lombard,Multi-Dispatch,2007:11:12
151.29500,,WNAA359,Public Works / Fire [Ch 5] / Park District (Villa Olivia),Bartlett,Public Works,2011:01:12
151.32500,159.43500,KNED362,Operations / Police Alternate [Ch 1/2],Forest Preserve District of DuPage County,Public Works,2009:03:18
151.32500,,,Fire [Ch 12] (Forest Preserve District?),Lisle-Woodridge Fire Protection District,Fire-Tac,2007:11:12
151.37000,,KNEZ578,Park District / Police Car-to-Car [Ch 5],Roselle,Multi-Tac,2007:11:12
151.38500,153.68000,WPNU382,"Fire South - Darien-Woodridge, Hinsdale, Lisle-Woodridge, Warrenville - patched to STARCOM 21 TG 2702",DuPage Public Safety Communications (DU-COMM),Fire Dispatch,2015:04:28
151.41500,,WNLI532,Park District,Westmont,Public Works,2007:11:08
151.47500,159.39000,WPBR393,Park District,Glen Ellyn,Public Works,2009:03:17
151.49000,,,Elmhurst Chicago Stone (Elmhurst) - concrete trucks,Rock/Quarries/Cement Companies,Business,2009:03:21
151.49000,,,Park District: Aquatic Center & Rice Pool,Wheaton,Public Works,2009:03:25
151.52000,,WPTK658,Engineering,Double Tree Hotel (Oak Brook) - former Hyatt Regency,Business,2005:02:13
151.52000,,WQJP887,Salt Creek School? (Elmhurst),Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Schools,2012:12:08
151.58750,,,Site 102 Carol Stream (Unidentified LCN),Ventronics (Metro Chicago),TRS,2012:07:31
151.62500,,,Albright Middle School (Villa Park) (old),Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Deprecated,2009:03:17
151.64570,,WQOM458,Admin/Operations/Security,Saint Isaac Jogues School (Hinsdale),Schools,2011:11:22
151.65500,,WPLP856,Park District: Maintenance/Security,Hanover Park,Public Works,2008:12:28
151.65500,,WPMN908,Engineering/Mechanical,Medinah Country Club,Business,2006:08:14
151.68500,,WNQW203,Wheaton - Warrenville South High School: Buses/Security,Wheaton-Warrenville Community Unit School District 200,Schools,2008:10:11
151.68500,,KGI919,Maintenance,Wheaton College,Schools,2007:09:03
151.68500,,WNWL809,Addison Trail High School: Maintenance,"DuPage High School Distrct 88 (Addison, Villa Park)",Deprecated,2010:11:13
151.68500,,KB76908,Park District / Villa Olivia Ops,Bartlett,Public Works,2012:12:19
151.71500,,,Villa Olivia Country Club [Ch 1],Country Clubs / Golf Courses,Business,2011:01:12
151.71500,,WPMN908,Engineering/Mechanical,Medinah Country Club,Business,2006:08:14
151.71500,,,Operations,Double Tree Hotel (Oak Brook) - former Hyatt Regency,Business,2008:10:15
151.74500,,WPOC481,Operations,Addison School District #4,Schools,2012:12:08
151.74500,,KXV793,Downers Grove South High School: Paging ?,Consolidated High School District 99 (Downers Grove),Schools,2009:05:04
151.74500,,WQJP887,Albright Middle School (Villa Park),Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Schools,2012:12:08
151.74500,,,Fire [Ch 13],Lisle-Woodridge Fire Protection District,Fire-Tac,2007:11:12
151.76000,,,Banana Republic,Oakbrook Center Mall,Business,2008:10:15
151.77500,159.72000,KA92953,Butler National Golf Club (Oak Brook),Country Clubs / Golf Courses,Business,2015:05:06
151.77500,,KVJ433,Operations,Double Tree Hotel (Oak Brook) - former Hyatt Regency,Business,2005:02:13
151.79000,,WPMQ370,303 Transportation (Oakbrook Terrace),Taxis/Cabs,Transportation,2012:01:07
151.80500,,KAG940,Operations [Expired],Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2007:11:12
151.80500,,,Villa Olivia Country Club [Ch 2],Country Clubs / Golf Courses,Business,2011:01:12
151.80500,154.54000,WPWF932,High School: Security,West Chicago Community High School District  94,Schools,2008:01:15
151.83500,,,High School,West Chicago Community High School District  94,Schools,2008:01:15
151.83500,,WPMN908,Engineering/Mechanical,Medinah Country Club,Business,2006:08:14
151.83500,,KNDK264,Operations,Darien School District 61,Schools,2008:01:15
151.85000,159.81000,WQQH512,Park District Ops,Downers Grove,Public Works,2015:07:23
151.86500,160.20000,WQJP887,Albright Middle School (Villa Park),Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Schools,2013:10:31
151.86500,,WPMN908,Engineering/Mechanical,Medinah Country Club,Business,2006:08:14
151.89500,,WNQW203,Wheaton - Warrenville South High School,Wheaton-Warrenville Community Unit School District 200,Schools,2007:11:12
151.92500,,,Site 103 Naperville (Unidentified LCN),Ventronics (Metro Chicago),TRS,2008:10:09
151.92500,,WQEW719,Seven Bridges Golf Club - Operations,Woodridge,Public Works,2013:11:21
151.97000,159.99000,WQAD508,Maintenance / Operations [Ch 1],Elmhurst College,Schools,2010:05:30
151.97750,160.14750,WQOW816,National Switching Services (W Chicago-in use),Railroads,Railroad,2012:09:12
151.98500,,WQJP887,Operations,Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Schools,2012:12:08
152.00750,,WPSF609,Paging,Good Samaritan Hospital (Downers Grove),Data,2010:12:27
152.29250,157.55250,WQIH834,South High School (Darien) - Safety/Maintenance,Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2008:01:25
152.30000,157.56000,WPWF932,High School: Maintenance,West Chicago Community High School District  94,Schools,2008:01:15
152.30750,,WQQY267,Glenbard Wastewater Authority Ops 1,Glenbard Wastewater Authority,Public Works,2013:04:03
152.37500,157.63500,WPOX778,South High School,Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2007:11:12
152.40500,157.66500,WQPU750,South High School (DPL072? Channel 4?),Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2013:03:03
152.43500,157.69500,WPSS291,Glenbard West HS (Glen Ellyn) - maintenance?,Glenbard Township High School District 87,Schools,2009:03:24
152.46500,157.72500,WPMJ767,"Central High School: Maintenance, Athletics",Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2013:02:26
152.87000,,WQJP887,Operations,Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Schools,2012:12:08
152.87000,,WPTK658,Engineering,Double Tree Hotel (Oak Brook) - former Hyatt Regency,Business,2005:02:13
152.87000,151.95500,WPWF932,High School (corrected),West Chicago Community High School District  94,Schools,2008:01:15
152.89250,,WQOM458,Admin/Operations/Security,Saint Isaac Jogues School (Hinsdale),Schools,2011:11:22
152.92250,,,Site 102 Carol Stream (Unidentified LCN),Ventronics (Metro Chicago),TRS,2012:07:31
152.94500,,WQWV214,Public Works - licensed for analog and digital,Elmhurst,Public Works,2015:12:04
152.98250,159.72750,WQMX984,Operations,Maercker School District 60 (Clarendon Hills),Schools,2015:12:04
152.99000,,WPMK712,Taxi: Base-to-Mobiles (Dispatch),AAA/Universal Taxi (Lombard),Transportation,2010:11:23
152.99750,159.98250,WQIH834,Central High School: Safety/Maintenance (Hindsdale),Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2008:01:25
153.01250,,WQJR859,Water Distribution Data,Hinsdale,Data,2007:11:12
153.07250,,,Site 102 Carol Stream (Unidentified LCN),Ventronics (Metro Chicago),TRS,2012:07:31
153.07250,,,Site 002 Kane/DuPage (Confirmed LCN),Ventronics (Metro Chicago),TRS,2012:07:03
153.46250,,,Site 002 Kane/DuPage (Confirmed LCN),Ventronics (Metro Chicago),TRS,2012:07:03
153.50000,150.77500,WPEK951,"Norcomm Fire Dispatch - MABAS Division 20 ""Divisionwide"" Channel",Superior Ambulance Service (Elmhurst),Fire-Tac,2009:03:18
153.54500,,WPMN336,Taxi: Base-to-Mobiles (Dispatch),AAA/Universal Taxi (Lombard),Transportation,2006:10:24
153.63500,150.80500,WNMG301,Fire: Dispatch (300-series units),Clarendon Hills,Fire Dispatch,2015:04:14
153.63500,150.80500,WNMG301,Fire: Dispatch,Southwest Central Dispatch (SWCD),Fire Dispatch,2013:11:22
153.63500,150.80500,WNMG301,Fire: Dispatch,"Tri-State Fire Protection District (Darien, Willowbrook)",Fire Dispatch,2010:04:29
153.92000,,KDP453,Public Works,Wheaton,Public Works,2009:03:25
154.00250,,WPWX243,Public Works / Police: Car-to-Car,Warrenville,Public Works,2007:11:12
154.04000,,KSI453,Public Works / Emergency Management Agency,Elmhurst,Multi-Dispatch,2009:03:17
154.04000,,KNP547,Public Works / Police: Alternate,Winfield,Public Works,2007:11:12
154.04000,,WNVD902,Public Works / Police Alternate,Villa Park,Public Works,2009:03:17
154.04000,,KSI453,{Link to} Elmhurst Fire,Elmhurst College,Fire-Tac,2010:05:30
154.08500,,KBV882,Sanitary District / Police: Tac [Lincoln 16],Hinsdale,Public Works,2007:11:12
154.10000,,KDL908,EMA: Tac / Snow Plows,Naperville,Emergency Ops,2012:12:08
154.11500,159.07500,KGL362,Public Works / Fire: Alternate [F-2],Oakbrook Terrace,Public Works,2007:11:12
154.11500,,KZZ435,Police: Secondary / Public Works,Carol Stream,Multi-Talk,2006:07:14
154.14500,159.29250,WQOL999,"Fire West - Bartlett, Hanover Park, Itasca, Roselle - patched to STARCOM 21 TG 2703",DuPage Public Safety Communications (DU-COMM),Fire Dispatch,2013:06:06
154.17500,,KNGG680,West Chicago Fire Department (Airport Station),Public Safety,Fire Dispatch,2006:07:14
154.17500,158.91000,KNGG680,"Fire North - Bloomingdale, Carol Stream, Glen Ellyn, Glenside, West Chicago, Wheaton, Winfield - patched to STARCOM 21 TG 2701",DuPage Public Safety Communications (DU-COMM),Fire Dispatch,2013:06:06
154.25000,,KSD739,Fire: Dispatch (Old),"Tri-State Fire Protection District (Darien, Willowbrook)",Deprecated,2010:02:21
154.25000,,WNMG301,"Fire: Coordination with Pleasantview, others",Clarendon Hills,Fire-Talk,2015:04:14
154.25000,,KYQ963,Pleasantview FPD Dispatch,Pleasantview Fire Protection District,Fire Dispatch,2012:12:05
154.25000,,KDJ551,Fire: Former Dispatch (146.2 PL?),Darien-Woodridge Fire Protection District,Deprecated,2011:05:03
154.31000,,KUN405,Fire: Dispatch - Old,Oak Brook,Deprecated,2006:12:30
154.31000,,KNIM596,Former Fire West,DuPage Public Safety Communications (DU-COMM),Deprecated,2013:06:06
154.33250,,KSD739,Fire: Tac 2,"Tri-State Fire Protection District (Darien, Willowbrook)",Fire-Tac,2007:11:12
154.37000,,KDS610,Fire: Dispatch (Stations/units 17 & 18),Bensenville,Fire Dispatch,2012:10:17
154.41500,159.36750,KJD387,"Fire East - Addison, Elmhurst, Lombard, Oak Brook, Oakbrook Terrace, Villa Park, York Center - patched to STARCOM 21 TG 2704",DuPage Public Safety Communications (DU-COMM),Fire Dispatch,2013:06:06
154.49000,159.49500,WQFT726,Central High School: Security,Hinsdale Township High School District 86 (Hinsdale/Darien),Schools,2006:11:02
154.49000,,WQJP887,Operations,Salt Creek School District 48 (Villa Park/Elmhurst/Oak Brook/Oakbrook Terrace),Schools,2012:12:08
154.54000,,KNBD537,Board of Education [EXPIRED],Wheaton-Warrenville Community Unit School District 200,Schools,2007:11:12
154.54000,,KQL211,Alternate [Ch 2],Elmhurst College,Schools,2010:05:30
154.54000,,WQIW719,Seven Bridges Golf Club - Operations,Woodridge,Public Works,2013:11:21
154.54750,,WQOM458,Admin/Operations/Security,Saint Isaac Jogues School (Hinsdale),Schools,2011:11:22
154.57000,,,WalMart (Villa Park),Miscellaneous,Business,2014:11:14
154.57000,,,Jus-Fun Amusements (Oakbrook Terrace),Miscellaneous,Business,2009:09:08
154.57000,,WPLD808,School Operations,Glen Ellyn Community Consolidated School District 89,Schools,2012:08:01
154.57000,,,Willowbrook Wildlife Haven (Glen Ellyn),Forest Preserve District of DuPage County,Public Works,2012:04:18
154.60000,,WQHM311,Toys R Us (near SSM),Stratford Square Mall (Bloomingdale),Business,2009:09:13
154.60000,,,"Banquets, Convention Services",Double Tree Hotel (Oak Brook) - former Hyatt Regency,Business,2009:05:09
154.60000,,WPLD808,School Operations,Glen Ellyn Community Consolidated School District 89,Schools,2012:08:01
154.60000,,,Wal-Mart (near SSM),Stratford Square Mall (Bloomingdale),Business,2009:09:13
154.60000,,,Engineers,Double Tree Hotel (Oak Brook) - former Hyatt Regency,Business,2008:10:15
154.65000,,,Police: Tac,Westmont,Law Tac,2009:04:24
154.72500,,KSG480,Police: Alternate,Clarendon Hills,Law Talk,2015:04:14
154.72500,,KCL501,Police: Former Dispatch,Oak Brook,Deprecated,2015:04:16
154.72500,156.01500,,"Police: Link to Westmont, Hindsdale, Oak Brook",Downers Grove,Law Tac,2007:11:08
154.72500,,KSA668,Police: Dispatch - Old,Hinsdale,Law Talk,2007:11:12
154.72500,,KBJ838,Police: Alternate,Westmont,Law Talk,2015:04:16
154.77000,,KSA436,OEM: EMTAC 1,DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
154.81500,,KA7241,Police: Tac 5 (Fiat 2 - Task Force),Westmont,Law Tac,2013:08:08
154.87500,,,Police: Car-to-car,Willowbrook,Fire-Tac,2010:11:15
154.87500,,WNDE786,"Police: Car-to-car, admin",Southwest Central Dispatch (SWCD),Multi-Dispatch,2007:11:08
154.89000,,WNCR651,Police: Former Car-to-Base (license cxl'd 2/13),Addison,Deprecated,2012:03:02
154.95500,,,Fireground [Ch 13],Darien-Woodridge Fire Protection District,Fire-Tac,2011:05:07
154.96500,,KDL980,EMA: Operations,Naperville,Emergency Ops,2012:12:08
154.96500,,KZF591,OEM: Primary Incident Command [DCOEM Main],DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
154.98000,,,Public Works,Darien,Public Works,2007:11:08
154.98000,,WQB813,"Public Works [Expired, still in use?]",Hinsdale,Public Works,2007:11:12
155.01000,,KSE459,Police: Alternate,West Chicago,Law Tac,2009:04:05
155.01000,,,Police: Car-to-Car/Alternate,Bensenville,Law Tac,2007:11:08
155.01000,,KSG480,Police: Alternate,Clarendon Hills,Deprecated,2015:04:14
155.01000,,WNCR651,Police: Former Base-to-Car / Car-to-Car [Ch. 2] (license cxl'd 2/13),Addison,Deprecated,2012:03:02
155.02500,,WNQF709,"OEM: Severe Weather Alerts, etc. (PL on base transmit only?)",DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2009:03:17
155.02500,,WNQF709,OEM/ESMARN (Open Squelch),DuPage County Office of Homeland Security and Emergency Management (OHSEM),Emergency Ops,2012:12:31
155.04000,,KNAB902,Fire [Ch 15] (Woodridge PW),Lisle-Woodridge Fire Protection District,Fire-Tac,2007:11:12
155.04000,,KNAB902,"Public Works, Police Alternate [Signal 3]",Woodridge,Public Works,2012:04:19
155.05500,,,Police: Tac 6 (I-REACH),Addison,Law Tac,2010:10:13
155.08500,,WNIA307,Public Works (NEXTEL also?)/ Police: Alternate,Bloomingdale,Public Works,2013:02:01
155.10000,,WNUJ407,Police: Car-to-Car / Fire [F-4],Lombard,Public Works,2007:11:12
155.10000,,WNUJ407,Public Works,Lombard,Public Works,2010:07:09
155.10000,,KCV383,Police: Car-to-Car,Glen Ellyn,Law Talk,2011:03:21
